,Hbond,atom1,atom2,bond_length,crystal
395,OH,O21,H75,2.797129319072474,Cs
396,OH,O22,H62,2.5325477887419847,Cs
397,OH,O22,H64,2.4994233605705105,Cs
398,OH,O22,H66,2.1106256815842577,Cs
399,OH,O22,H68,2.1591208125890415,Cs
400,OH,O22,H70,2.204003664781937,Cs
401,OH,O22,H72,2.1369479395393505,Cs
402,OH,O22,H74,2.0531228379282798,Cs
403,OH,O22,H76,2.797129344444284,Cs
404,OH,O23,H57,3.1552902410017287,Cs
405,OH,O23,H58,2.780544402062059,Cs
406,OH,O23,H59,2.8294675260391298,Cs
407,OH,O24,H57,2.7805444352803876,Cs
408,OH,O24,H58,3.1552899203098757,Cs
409,OH,O24,H60,2.829467838141906,Cs
410,OH,O25,H58,3.029882080796849,Cs
411,OH,O25,H80,2.672869419448377,Cs
412,OH,O26,H57,3.029882022561566,Cs
413,OH,O26,H79,2.672869449251647,Cs
414,OH,O27,H59,2.6737044446049745,Cs
415,OH,O27,H79,2.528362684047754,Cs
416,OH,O27,H81,2.6726482767693294,Cs
417,OH,O27,H83,2.069832287312702,Cs
418,OH,O27,H85,2.014857321583391,Cs
419,OH,O27,H87,2.049333666565873,Cs
420,OH,O27,H89,2.0433875929962277,Cs
421,OH,O27,H91,2.1116534522439614,Cs
422,OH,O28,H60,2.673704522455556,Cs
423,OH,O28,H80,2.5283628482949063,Cs
424,OH,O28,H82,2.67264854153443,Cs
425,OH,O28,H84,2.069832278967441,Cs
426,OH,O28,H86,2.014857642166459,Cs
427,OH,O28,H88,2.0493334320016805,Cs
428,OH,O28,H90,2.0433876348668676,Cs
429,OH,O28,H92,2.1116534099651405,Cs
430,OH,O29,H61,3.5134920489360124,Cs
431,OH,O29,H64,2.9108016829861185,Cs
432,OH,O29,H78,3.141420489515456,Cs
433,OH,O30,H62,3.5134921999077324,Cs
434,OH,O30,H63,2.910801682986119,Cs
435,OH,O30,H77,3.141420489515456,Cs
436,OH,O31,H75,2.789038991282978,Cs
437,OH,O31,H77,3.05232399889529,Cs
438,OH,O31,H78,2.797804945781625,Cs
439,OH,O32,H76,2.7890391486479085,Cs
440,OH,O32,H77,2.797804945781625,Cs
441,OH,O32,H78,3.05232399889529,Cs
442,FH,F11,H59,2.7244001350492466,Cs
443,FH,F11,H90,2.789604322439823,Cs
444,FH,F12,H60,2.7244003268222956,Cs
445,FH,F12,H89,2.7896043224398412,Cs
446,FH,F15,H72,2.928820876646328,Cs
447,FH,F16,H71,2.928820944671017,Cs
448,FH,F17,H75,2.6584406549286554,Cs
449,FH,F18,H76,2.658440610012482,Cs
450,NH,N15,H27,2.1235800188747103,Li
451,NH,N15,H29,2.0798992646857335,Li
452,NH,N15,H31,2.5648215551759006,Li
453,NH,N15,H33,3.443671320384092,Li
454,NH,N15,H37,3.276693654861164,Li
455,NH,N16,H28,2.123579578074538,Li
456,NH,N16,H30,2.079899131169589,Li
457,NH,N16,H32,2.564821497917581,Li
458,NH,N16,H34,3.4436711890791725,Li
459,NH,N16,H38,3.2766937440931483,Li
460,OH,O9,H27,3.355506575201291,Li
461,OH,O9,H27,2.6176887469150376,Li
462,OH,O9,H31,2.560828281780399,Li
463,OH,O9,H33,3.307544761825612,Li
464,OH,O9,H35,2.0431230560586218,Li
465,OH,O9,H37,1.9787478552348585,Li
466,OH,O9,H39,1.9790751451402762,Li
467,OH,O9,H41,2.0093533641649084,Li
468,OH,O9,H43,2.044182367224661,Li
469,OH,O10,H28,2.6176886760763622,Li
470,OH,O10,H28,3.355506542944673,Li
471,OH,O10,H32,2.5608281967762316,Li
472,OH,O10,H34,3.307544690698875,Li
473,OH,O10,H36,2.043123019225094,Li
474,OH,O10,H38,1.9787482320636955,Li
475,OH,O10,H40,1.979075494732938,Li
476,OH,O10,H42,2.009353538354091,Li
477,OH,O10,H44,2.044182561408582,Li
478,OH,O11,H27,2.737471949170319,Li
479,OH,O11,H29,2.7894411447749787,Li
480,OH,O11,H31,3.1814860693526104,Li
481,OH,O11,H34,3.4865347522553485,Li
482,OH,O12,H28,2.737471791984821,Li
483,OH,O12,H30,2.78944133066435,Li
484,OH,O12,H32,3.181486250777089,Li
485,OH,O12,H33,3.4865348336533457,Li
486,OH,O13,H42,2.653882830704035,Li
487,OH,O13,H44,3.453940942640124,Li
488,OH,O14,H41,2.653882766686645,Li
489,OH,O14,H43,3.453941471316202,Li
490,FH,F3,H34,2.8345491766983,Li
491,FH,F3,H35,2.91350267305694,Li
492,FH,F3,H37,2.946590366691677,Li
493,FH,F4,H33,2.8345495499828464,Li
494,FH,F4,H36,2.913502791527524,Li
495,FH,F4,H38,2.946590085874974,Li
496,FH,F5,H29,2.465876145729105,Li
497,FH,F5,H34,2.7054578786321737,Li
498,FH,F5,H36,2.9153678317511464,Li
499,FH,F6,H30,2.465875859788545,Li
500,FH,F6,H33,2.705457603918813,Li
501,FH,F6,H35,2.9153676361651075,Li
502,FH,F7,H37,2.768768494011459,Li
503,FH,F7,H39,2.3837133756808426,Li
504,FH,F7,H42,2.949480877916858,Li
505,FH,F8,H38,2.768768337302494,Li
506,FH,F8,H40,2.383713142322985,Li
507,FH,F8,H41,2.9494805181290737,Li
508,NH,H81,N177,2.70985334685077,Na
509,NH,H82,N178,2.709853297650772,Na
510,NH,H83,N179,2.7098530631916,Na
511,NH,H84,N180,2.7098535813099516,Na
512,NH,H85,N181,2.7098533276921812,Na
513,NH,H86,N182,2.709853316809395,Na
514,NH,H87,N183,2.7098536113513236,Na
515,NH,H88,N184,2.7098530331501873,Na
516,NH,H113,N177,2.109306671756441,Na
517,NH,H114,N178,2.1093062188048215,Na
518,NH,H115,N179,2.1093062937299734,Na
519,NH,H116,N180,2.1093065968313014,Na
520,NH,H117,N181,2.109306218804751,Na
521,NH,H118,N182,2.109306671756511,Na
522,NH,H119,N183,2.1093065968312303,Na
523,NH,H120,N184,2.1093062937300444,Na
524,NH,H121,N177,2.135176882774163,Na
525,NH,H122,N178,2.135176829847942,Na
526,NH,H123,N179,2.135176882774163,Na
527,NH,H124,N180,2.135176829847942,Na
528,NH,H125,N181,2.1351770598780977,Na
529,NH,H126,N182,2.1351766527439877,Na
530,NH,H127,N183,2.135177059878097,Na
531,NH,H128,N184,2.135176652743988,Na
532,NH,H129,N177,3.4417332475286844,Na
533,NH,H130,N178,3.4417332111095984,Na
534,NH,H131,N179,3.44173321110962,Na
535,NH,H132,N180,3.441733247528662,Na
536,NH,H133,N181,3.4417332111095993,Na
537,NH,H134,N182,3.4417332475286835,Na
538,NH,H135,N183,3.441733247528662,Na
539,NH,H136,N184,3.44173321110962,Na
540,NH,H137,N177,2.627634010898213,Na
541,NH,H138,N178,2.6276340108982104,Na
542,NH,H139,N179,2.6276340108982126,Na
543,NH,H140,N180,2.6276340108982104,Na
544,NH,H141,N181,2.627634010898211,Na
545,NH,H142,N182,2.6276340108982126,Na
546,NH,H143,N183,2.627634010898211,Na
547,NH,H144,N184,2.6276340108982126,Na
548,OH,O9,H73,2.107490258154593,Na
549,OH,O9,H75,3.217568262989651,Na
550,OH,O9,H81,2.1049795742693416,Na
551,OH,O9,H89,2.0911892314437526,Na
552,OH,O9,H97,2.0762078297464686,Na
553,OH,O9,H99,3.388308035811964,Na
